Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-01T00:00+01:00;2019-01-02T00:00+01:00;2019-01-01;6624;100,0;24;24;0;4;99,94;1;6362;258;55;172;29;2;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-01T00:00+01:00;2019-01-02T00:00+01:00;2019-01-01;5823;100,0;24;24;0;7;99,88;2;5469;347;100;116;122;9;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-01T00:00+01:00;2019-01-02T00:00+01:00;2019-01-01;5968;100,0;24;24;0;8;99,87;Totalt i retning TROMSDALEN;5607;353;103;119;122;9;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-01T00:00+01:00;2019-01-02T00:00+01:00;2019-01-01;6479;100,0;24;24;0;3;99,95;Totalt i retning TROMSØYA;6224;252;52;169;29;2;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-01T00:00+01:00;2019-01-02T00:00+01:00;2019-01-01;12447;100,0;24;24;0;11;99,91;Totalt;11831;605;155;288;151;11;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-02T00:00+01:00;2019-01-03T00:00+01:00;2019-01-02;9115;100,0;24;24;0;9;99,90;1;8596;510;123;227;144;16;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-02T00:00+01:00;2019-01-03T00:00+01:00;2019-01-02;8880;100,0;24;24;0;8;99,91;2;8018;854;265;262;262;65;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-02T00:00+01:00;2019-01-03T00:00+01:00;2019-01-02;8895;100,0;24;24;0;4;99,96;Totalt i retning TROMSDALEN;8034;857;265;265;262;65;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-02T00:00+01:00;2019-01-03T00:00+01:00;2019-01-02;9100;100,0;24;24;0;13;99,86;Totalt i retning TROMSØYA;8580;507;123;224;144;16;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-02T00:00+01:00;2019-01-03T00:00+01:00;2019-01-02;17995;100,0;24;24;0;17;99,91;Totalt;16614;1364;388;489;406;81;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-03T00:00+01:00;2019-01-04T00:00+01:00;2019-01-03;8431;100,0;24;24;0;11;99,87;1;7929;491;128;218;134;10;1
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-03T00:00+01:00;2019-01-04T00:00+01:00;2019-01-03;8114;100,0;24;24;0;34;99,58;2;7120;960;401;198;303;57;1
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-03T00:00+01:00;2019-01-04T00:00+01:00;2019-01-03;8117;100,0;24;24;0;30;99,63;Totalt i retning TROMSDALEN;7124;963;402;200;303;57;1
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-03T00:00+01:00;2019-01-04T00:00+01:00;2019-01-03;8428;100,0;24;24;0;15;99,82;Totalt i retning TROMSØYA;7925;488;127;216;134;10;1
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-03T00:00+01:00;2019-01-04T00:00+01:00;2019-01-03;16545;100,0;24;24;0;45;99,73;Totalt;15049;1451;529;416;437;67;2
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-04T00:00+01:00;2019-01-05T00:00+01:00;2019-01-04;10124;100,0;24;24;0;7;99,93;1;9583;534;139;227;153;15;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-04T00:00+01:00;2019-01-05T00:00+01:00;2019-01-04;9520;100,0;24;24;0;2;99,98;2;8515;1003;450;214;279;60;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-04T00:00+01:00;2019-01-05T00:00+01:00;2019-01-04;9523;100,0;24;24;0;2;99,98;Totalt i retning TROMSDALEN;8518;1003;450;214;279;60;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-04T00:00+01:00;2019-01-05T00:00+01:00;2019-01-04;10121;100,0;24;24;0;7;99,93;Totalt i retning TROMSØYA;9580;534;139;227;153;15;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-04T00:00+01:00;2019-01-05T00:00+01:00;2019-01-04;19644;100,0;24;24;0;9;99,95;Totalt;18098;1537;589;441;432;75;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-05T00:00+01:00;2019-01-06T00:00+01:00;2019-01-05;7578;100,0;24;24;0;14;99,82;1;7234;330;87;162;76;3;2
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-05T00:00+01:00;2019-01-06T00:00+01:00;2019-01-05;6980;100,0;24;24;0;1;99,99;2;6460;519;210;97;194;18;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-05T00:00+01:00;2019-01-06T00:00+01:00;2019-01-05;6982;100,0;24;24;0;1;99,99;Totalt i retning TROMSDALEN;6462;519;210;97;194;18;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-05T00:00+01:00;2019-01-06T00:00+01:00;2019-01-05;7576;100,0;24;24;0;14;99,82;Totalt i retning TROMSØYA;7232;330;87;162;76;3;2
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-05T00:00+01:00;2019-01-06T00:00+01:00;2019-01-05;14558;100,0;24;24;0;15;99,90;Totalt;13694;849;297;259;270;21;2
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-06T00:00+01:00;2019-01-07T00:00+01:00;2019-01-06;6750;100,0;24;24;0;2;99,97;1;6455;293;61;180;47;4;1
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-06T00:00+01:00;2019-01-07T00:00+01:00;2019-01-06;6579;100,0;24;24;0;0;100,00;2;6090;489;212;72;180;25;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-06T00:00+01:00;2019-01-07T00:00+01:00;2019-01-06;6579;100,0;24;24;0;0;100,00;Totalt i retning TROMSDALEN;6090;489;212;72;180;25;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-06T00:00+01:00;2019-01-07T00:00+01:00;2019-01-06;6750;100,0;24;24;0;2;99,97;Totalt i retning TROMSØYA;6455;293;61;180;47;4;1
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-06T00:00+01:00;2019-01-07T00:00+01:00;2019-01-06;13329;100,0;24;24;0;2;99,98;Totalt;12545;782;273;252;227;29;1
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-07T00:00+01:00;2019-01-08T00:00+01:00;2019-01-07;9070;100,0;24;24;0;4;99,96;1;8562;504;120;233;127;22;2
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-07T00:00+01:00;2019-01-08T00:00+01:00;2019-01-07;8739;100,0;24;24;0;0;100,00;2;7731;1008;461;201;261;85;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-07T00:00+01:00;2019-01-08T00:00+01:00;2019-01-07;8743;100,0;24;24;0;0;100,00;Totalt i retning TROMSDALEN;7734;1009;462;201;261;85;0
79743V1125914;TROMSØBRUA;FV862 S1D1 m1705;2019-01-07T00:00+01:00;2019-01-08T00:00+01:00;2019-01-07;9066;100,0;24;24;0;4;99,96;Totalt i retning TROMSØYA;8559;503;119;233;127;22;2
